snr_db,model,pit_mse,wave_mse,sdr_db,soi_symbol_accuracy,int_symbol_accuracy,avg_symbol_accuracy,soi_symbol_error_rate,int_symbol_error_rate
-15.0,Hybrid,3.2341896444559097,3.2341896444559097,-8.083410799503326,1.0,1.0,1.0,0.0,0.0
-20.0,Hybrid,8.990307807922363,8.990307927131653,-12.532458543777466,1.0,1.0,1.0,0.0,0.0
-25.0,Hybrid,27.010462284088135,27.010462045669556,-17.31221866607666,1.0,1.0,1.0,0.0,0.0
-30.0,Hybrid,83.56010627746582,83.56010675430298,-22.198487401008606,1.0,1.0,1.0,0.0,0.0
30.0,LSTM,0.002101123405736871,0.002101123405736871,23.864422082901,1.0,1.0,1.0,0.0,0.0
25.0,LSTM,0.0022231415059650317,0.002223141535068862,23.6111159324646,1.0,1.0,1.0,0.0,0.0
20.0,LSTM,0.003614955800003372,0.003614955785451457,21.71103036403656,1.0,1.0,1.0,0.0,0.0
15.0,LSTM,0.021712255314923823,0.0217122551985085,14.062956929206848,1.0,1.0,1.0,0.0,0.0
10.0,LSTM,0.12302170414477587,0.12302170740440488,6.196113854646683,1.0,1.0,1.0,0.0,0.0
5.0,LSTM,0.32296757958829403,0.32296757958829403,1.9218439310789108,1.0,1.0,1.0,0.0,0.0
0.0,LSTM,0.4846958164125681,0.48469582200050354,0.17924700491130352,1.0,1.0,1.0,0.0,0.0
-5.0,LSTM,0.6163176819682121,0.6163176707923412,-0.8919161856174469,1.0,1.0,1.0,0.0,0.0
-10.0,LSTM,0.7135466672480106,0.7135466784238815,-1.5558654814958572,1.0,1.0,1.0,0.0,0.0
-15.0,LSTM,0.7701077647507191,0.7701077647507191,-1.868835099041462,1.0,1.0,1.0,0.0,0.0
-20.0,LSTM,0.7804207354784012,0.7804207354784012,-1.9400496408343315,1.0,1.0,1.0,0.0,0.0
-25.0,LSTM,0.7694939747452736,0.7694939821958542,-1.8841090947389603,1.0,1.0,1.0,0.0,0.0
-30.0,LSTM,0.7604559771716595,0.7604559771716595,-1.812181018292904,1.0,1.0,1.0,0.0,0.0
30.0,IQ_CNN,0.0031898608576739207,0.0031898608285700902,22.33116900920868,1.0,1.0,1.0,0.0,0.0
25.0,IQ_CNN,0.0034858472499763593,0.0034858472645282745,21.86973774433136,1.0,1.0,1.0,0.0,0.0
20.0,IQ_CNN,0.005383024166803807,0.005383024166803807,19.964354991912842,1.0,1.0,1.0,0.0,0.0
15.0,IQ_CNN,0.02430930023547262,0.024309300119057298,13.48117583990097,1.0,1.0,1.0,0.0,0.0
10.0,IQ_CNN,0.1271104421466589,0.1271104421466589,6.054702192544937,1.0,1.0,1.0,0.0,0.0
5.0,IQ_CNN,0.32702650502324104,0.32702650502324104,1.8688898384571075,1.0,1.0,1.0,0.0,0.0
0.0,IQ_CNN,0.49419057182967663,0.49419056810438633,0.09617615467868745,1.0,1.0,1.0,0.0,0.0
-5.0,IQ_CNN,0.6261434592306614,0.626143466681242,-0.957863561809063,1.0,1.0,1.0,0.0,0.0
-10.0,IQ_CNN,0.7228399068117142,0.7228399030864239,-1.609601303935051,1.0,1.0,1.0,0.0,0.0
-15.0,IQ_CNN,0.7891269437968731,0.7891269400715828,-1.9734767526388168,1.0,1.0,1.0,0.0,0.0
-20.0,IQ_CNN,0.8211709372699261,0.8211709372699261,-2.1608432084321976,1.0,1.0,1.0,0.0,0.0
-25.0,IQ_CNN,0.8368256688117981,0.8368256762623787,-2.248076617717743,1.0,1.0,1.0,0.0,0.0
-30.0,IQ_CNN,0.8498174101114273,0.8498173989355564,-2.294969215989113,1.0,1.0,1.0,0.0,0.0
