alpha,model,pit_mse,wave_mse,sdr_db,soi_symbol_accuracy,int_symbol_accuracy,avg_symbol_accuracy,soi_symbol_error_rate,int_symbol_error_rate
3.0,LSTM,0.39304073713719845,0.39304074086248875,1.0686944983899593,1.0,1.0,1.0,0.0,0.0
4.0,LSTM,0.43499593064188957,0.4349959325045347,0.5982619524002075,1.0,1.0,1.0,0.0,0.0
6.0,LSTM,0.4463787376880646,0.4463787414133549,0.49160620011389256,1.0,1.0,1.0,0.0,0.0
8.0,LSTM,0.4467984214425087,0.44679842330515385,0.5026397909969091,1.0,1.0,1.0,0.0,0.0
12.0,LSTM,0.4442193750292063,0.4442193731665611,0.5396952256560326,1.0,1.0,1.0,0.0,0.0
16.0,LSTM,0.43704146705567837,0.43704146705567837,0.6073725838214159,1.0,1.0,1.0,0.0,0.0
24.0,LSTM,0.43161001428961754,0.4316100124269724,0.6605255492031574,1.0,1.0,1.0,0.0,0.0
32.0,LSTM,0.42938568256795406,0.4293856844305992,0.6829281486570835,1.0,1.0,1.0,0.0,0.0
48.0,LSTM,0.4267150443047285,0.42671504616737366,0.7150123193860054,1.0,1.0,1.0,0.0,0.0
64.0,LSTM,0.42536623775959015,0.4253662396222353,0.7276748269796371,1.0,1.0,1.0,0.0,0.0
0.25,IQ_CNN,0.4869345333427191,0.4869345352053642,0.12491904245689511,1.0,1.0,1.0,0.0,0.0
0.5,IQ_CNN,0.16392642725259066,0.16392642818391323,4.996743142604828,1.0,1.0,1.0,0.0,0.0
0.75,IQ_CNN,0.045007629320025444,0.045007629320025444,10.826503098011017,1.0,1.0,1.0,0.0,0.0
1.0,IQ_CNN,0.02395989652723074,0.023959896410815418,13.508363723754883,1.0,1.0,1.0,0.0,0.0
1.5,IQ_CNN,0.0974377621896565,0.09743776312097907,7.472152054309845,1.0,1.0,1.0,0.0,0.0
2.0,IQ_CNN,0.23612352553755045,0.23612352460622787,3.3464083522558212,1.0,1.0,1.0,0.0,0.0
3.0,IQ_CNN,0.3327023219317198,0.3327023182064295,1.7944828197360039,1.0,1.0,1.0,0.0,0.0
4.0,IQ_CNN,0.37586038932204247,0.37586039304733276,1.2374368757009506,1.0,1.0,1.0,0.0,0.0
6.0,IQ_CNN,0.43422074243426323,0.4342207405716181,0.6111423783004284,1.0,1.0,1.0,0.0,0.0
8.0,IQ_CNN,0.4678167197853327,0.467816723510623,0.3013732470571995,1.0,1.0,1.0,0.0,0.0
12.0,IQ_CNN,0.49913806840777397,0.49913808144629,0.031110360170714557,1.0,1.0,1.0,0.0,0.0
16.0,IQ_CNN,0.5098673589527607,0.5098673738539219,-0.06470254258601926,1.0,1.0,1.0,0.0,0.0
24.0,IQ_CNN,0.5230941064655781,0.5230941139161587,-0.17746107373386621,1.0,1.0,1.0,0.0,0.0
32.0,IQ_CNN,0.5324502512812614,0.5324502624571323,-0.2554987855255604,1.0,1.0,1.0,0.0,0.0
48.0,IQ_CNN,0.5386074557900429,0.5386074632406235,-0.30050543788820505,1.0,1.0,1.0,0.0,0.0
64.0,IQ_CNN,0.5419447124004364,0.5419447086751461,-0.32825234718620777,1.0,1.0,1.0,0.0,0.0
